"lab","m_males","s_males","n_males","m_females","s_females","n_females","sdifference","scilow","scihigh","sd","sdcilow","sdcihigh","odifference","od","capture","repcapturerate"
"abington",0.0808151086316811,0.462249616987464,24,0.454090431711682,0.467015047526196,53,0.373275323080001,0.143461052519058,0.603089593640943,0.804923368500611,0.303337566880612,1.30149183337338,0.258330899915188,0.568481243509444,TRUE,0.857142857142857
"brasilia",0.399756637367889,0.516286901366489,48,0.570311251730099,0.422959447520084,65,0.17055461436221,-0.0105247443664475,0.351633973090868,0.356160065177828,-0.020554599121382,0.73129588646027,0.262609154883086,0.579905643732238,TRUE,0.657142857142857
"charles",0.34020899232457,0.4526633256802,22,0.735131969249299,0.418780021743441,58,0.394922976924729,0.169536678407117,0.620309275442341,0.890261202167502,0.377422182503019,1.39780931201804,0.257573706483857,0.566633668533745,TRUE,0.8
"conncoll",0.359331715867521,0.409349054626294,29,0.577599455660234,0.46346974728616,57,0.218267739792713,0.0230176194767264,0.413517860108699,0.509538181345397,0.0544390837107363,0.961692016379109,0.260513668251064,0.575007449477395,TRUE,0.942857142857143
"csun",0.31376035071234,0.487856737841887,16,0.319679753296012,0.50599643151597,72,0.00591940258367213,-0.275093297300763,0.286932102468108,0.0120507859070106,-0.529692606676664,0.553724216276765,0.263975834228048,0.583422326134473,FALSE,0.542857142857143
"help",0.259364345243654,0.439688943770572,28,0.341022076785771,0.434867171163763,69,0.0816577315421178,-0.115643833997266,0.278959297081501,0.186304491734332,-0.254147277928875,0.625780397797888,0.262937297157414,0.583330602982552,TRUE,0.457142857142857
"ithaca",0.274598569770319,0.5574236989603,17,0.55993579719662,0.456669531895131,71,0.2853372274263,-0.0171972302980547,0.587871685150655,0.528962189834638,-0.00761520733079785,1.06253252180524,0.259227073349872,0.572530570969804,TRUE,1
"jmu",0.101675487880484,0.542068742912198,30,0.51489338120963,0.488926885400475,137,0.413217893329146,0.196106774850381,0.630329011807912,0.775394771142323,0.370441092844566,1.17809622234516,0.257441661775056,0.565957549597127,TRUE,0.685714285714286
"ku",0.109995070342855,0.419899646974168,41,0.511464430807614,0.490668589435586,64,0.401469360464759,0.223205005647621,0.579733715281898,0.894414048443789,0.481820966271795,1.30303542931707,0.256515141047355,0.565302435072961,TRUE,0.657142857142857
"laurier",0.169173807218145,0.440071718389692,49,0.580389893265889,0.41030309462263,59,0.411216086047744,0.247533948997919,0.574898223097568,0.963434780192729,0.561034537642453,1.36174871742652,0.256367950198169,0.562986751602547,TRUE,0.628571428571429
"lse",0.160115406101726,0.482676686347205,91,0.521867969598853,0.452669650829567,176,0.361752563497127,0.241292646430974,0.482212480563279,0.765348879658639,0.503361725102813,1.02597779014938,0.254529845233786,0.562410232043739,TRUE,0.628571428571429
"luc",0.0965168184692736,0.460394418000524,20,0.481390748030893,0.450523168552728,121,0.384873929561619,0.156864249534307,0.612883609588931,0.838492211156739,0.353807887365729,1.32028217991624,0.259294065888239,0.567235355962088,TRUE,0.828571428571429
"mcdaniel",0.250539655918006,0.537957796656215,20,0.553345494704463,0.457799223618436,71,0.302805838786457,0.0320908879207298,0.573520789652185,0.580757365385857,0.0757482485905536,1.08259745062757,0.259102593570062,0.57169983427239,TRUE,0.971428571428571
"msvu",0.44770723239515,0.542267936752989,9,0.637255989222502,0.478581355437083,52,0.189548756827352,-0.23794920224671,0.617046715901415,0.355392810533059,-0.356588978273706,1.06439264344552,0.259177402376301,0.575122735491164,TRUE,1
"mturk",0.332355094644345,0.468252284291571,410,0.585469163017056,0.453401490597163,484,0.253114068372711,0.192316299647378,0.313911837098044,0.548458511704096,0.414318090824819,0.682302051595152,0.270574104048884,0.574127923081572,TRUE,0.285714285714286
"osu",0.115488891182894,0.413912395402795,30,0.370590318496024,0.420085870241991,60,0.25510142731313,0.0689692334207097,0.441233621205551,0.613253477993416,0.164079693175828,1.05908354990334,0.259694300804812,0.572009195045528,TRUE,0.857142857142857
"oxy",0.264812664153061,0.528892265813458,32,0.584338854584947,0.51431222454253,85,0.319526190431886,0.101289666227809,0.537762714635963,0.608685318998728,0.193387439059094,1.02143033504532,0.258478899036792,0.571653363703681,TRUE,0.857142857142857
"pi",0.322143511992569,0.498780579293019,427,0.613293219221509,0.439296631816886,809,0.29114970722894,0.234897251430979,0.347402163026901,0.607743844552175,0.487960976436406,0.72728985390818,0.254288141560707,0.567013777229031,TRUE,0.314285714285714
"psu",0.17917901387749,0.461965653914413,15,0.463449519426567,0.512102735549192,74,0.284270505549077,0.00749620792717575,0.561044803170978,0.603815955490548,0.0399555805119431,1.16429513455933,0.260238528555936,0.57315818569234,TRUE,0.971428571428571
"qccuny",0.195698683866468,0.566148544624666,19,0.354154172152931,0.486123451841119,74,0.158455488286463,-0.133127950890554,0.45003892746348,0.287711027146235,-0.21887549672426,0.792729178082497,0.262292726007318,0.578338444314004,TRUE,0.971428571428571
"qccuny2",-0.0958445940877696,0.638641411372077,4,0.235609639602145,0.215511601761258,4,0.331454233689915,-0.637853952508467,1.3007624198883,0.69544586163216,-0.768974366373144,2.10758442500075,0.259299524108133,0.573032272601312,TRUE,1
"sdsu",0.223635856474307,0.485089911782681,38,0.466689799733253,0.547544803491867,117,0.243053943258946,0.0564455048399419,0.42966238167795,0.485019336051439,0.114281047453983,0.854206344431007,0.260672132700121,0.576834174225996,TRUE,0.914285714285714
"swps",0.366316114073169,0.394463520944945,25,0.514344303859958,0.330574118751321,51,0.148028189786789,-0.0366947796053599,0.332751159178938,0.3951088161836,-0.0889223652300535,0.876519040477539,0.261301735125766,0.57639443596952,TRUE,0.657142857142857
"swpson",0.238366822343184,0.514660898713514,53,0.508011653736065,0.433390347660416,112,0.269644831392881,0.107288459693011,0.432001203092751,0.550264771702449,0.217270315352029,0.881624379572375,0.259489972515589,0.572258050465181,TRUE,0.828571428571429
"tamu",0.236064792816399,0.451556950808073,58,0.420245240730791,0.464691473566409,121,0.184180447914392,0.0399785495803801,0.328382346248404,0.404033606968572,0.0876429723392455,0.719302938746643,0.262131001170317,0.580419560574773,TRUE,0.6
"tamuc",0.277838612299999,0.433566020966733,15,0.558891385058598,0.423465351724932,69,0.281052772758599,0.0246501736434386,0.537455371873759,0.650917119943079,0.0818391050762155,1.21614860831444,0.25927906665317,0.571571784763896,TRUE,0.971428571428571
"tamuon",0.222776130407663,0.555195444272419,45,0.285485770907836,0.522360894725327,163,0.0627096405001725,-0.121568520314683,0.246987801315028,0.114379688549769,-0.215993378430015,0.444475596414513,0.268934715257889,0.595094371440995,FALSE,0.342857142857143
"tilburg",0.428677730509219,0.484262157201064,20,0.485599389875859,0.54783773739995,58,0.0569216593666405,-0.206468634119531,0.320311952852812,0.113540672513667,-0.395388245709454,0.621724755473551,0.262139828944155,0.582693813364115,TRUE,0.628571428571429
"ufl",0.0311913560287527,0.546734449933399,31,0.418946770330744,0.554809949024442,94,0.387755414301991,0.159682739463385,0.615828089140596,0.706618035546278,0.289834553136325,1.12065521495147,0.258374300777981,0.5693767361816,TRUE,0.8
"unipd",0.11325861356907,0.460779426646391,48,0.467245082006124,0.475903191052073,86,0.353986468437054,0.187323636569617,0.52064930030449,0.759214954671389,0.393077028229722,1.12265182980742,0.257040099238438,0.567006058407196,TRUE,0.685714285714286
"uva",0.0992331761534535,0.52187363627348,24,0.623419870159855,0.431769386021306,57,0.524186694006402,0.279184510966054,0.76918887704675,1.05495114472291,0.54754800121942,1.55636289247856,0.256184622985523,0.563633812414017,TRUE,0.514285714285714
"vcu",0.0664300649336342,0.565489445739411,24,0.468059101861129,0.51274739008231,77,0.401629036927495,0.139134767794221,0.664123306060769,0.725732217010752,0.254789399475726,1.19317595937422,0.258301729005646,0.568744511410507,TRUE,0.857142857142857
"wisc",0.243965628029107,0.550660416501566,16,0.615588291062373,0.412363888108794,75,0.371622663033266,0.066461536380551,0.67678378968598,0.702539074427943,0.151151021348092,1.25011815074195,0.257849519201351,0.568508168298865,TRUE,0.885714285714286
"wku",0.22863314924328,0.583583383061216,26,0.414619792439345,0.537019119842876,69,0.185986643196065,-0.0792978763596086,0.451271162751738,0.325597250990373,-0.128705188254788,0.778169255044073,0.261209009599924,0.57883900703436,TRUE,0.971428571428571
"wl",0.534406907992131,0.499160452011454,14,0.577714367592777,0.453046732485449,76,0.0433074596006456,-0.258520796316837,0.345135715518128,0.0879748335094887,-0.482453418234231,0.657904199100889,0.260787118447835,0.581108568881572,TRUE,0.657142857142857
"wpi",0.178173220471408,0.435160139595942,42,0.434638070192505,0.533503247196812,42,0.256464849721097,0.0450054389777876,0.467924260464406,0.526815119127954,0.0900541183631856,0.960473547482607,0.258752446696365,0.574138279843489,TRUE,0.914285714285714
